NAMESPACE                    NAME                                       READY   STATUS      RESTARTS      AGE   IP             NODE      NOMINATED NODE   READINESS GATES
database                     g1-crud-fpvm6                              0/1     Completed   0             13d   10.1.235.143   worker1   <none>           <none>
database                     g2-schema-migration-96wlq                  0/1     Completed   0             13d   10.1.189.94    worker2   <none>           <none>
database                     g3-backup-bfnpx                            0/1     Completed   0             13d   10.1.219.91    master    <none>           <none>
database                     mariadb-galera-0                           2/2     Running     0             13d   10.1.235.145   worker1   <none>           <none>
database                     mariadb-galera-1                           2/2     Running     3 (15d ago)   48d   10.1.219.81    master    <none>           <none>
database                     mariadb-galera-2                           2/2     Running     2 (15d ago)   50d   10.1.189.86    worker2   <none>           <none>
database                     mariadb-operator-b6548b959-tqq6t           1/1     Running     2 (15d ago)   51d   10.1.189.84    worker2   <none>           <none>
kube-system                  calico-kube-controllers-676854dc5d-grbhn   1/1     Running     2 (15d ago)   70d   10.1.219.82    master    <none>           <none>
kube-system                  calico-node-gd572                          1/1     Running     1 (15d ago)   19d   10.0.0.2       master    <none>           <none>
kube-system                  calico-node-rpfwh                          1/1     Running     1 (15d ago)   19d   10.0.0.3       worker1   <none>           <none>
kube-system                  calico-node-zrwk5                          1/1     Running     1 (15d ago)   19d   10.0.0.4       worker2   <none>           <none>
kube-system                  coredns-78894c95f4-lh4z7                   1/1     Running     2 (15d ago)   70d   10.1.219.83    master    <none>           <none>
kube-system                  hostpath-provisioner-7f665d64f6-x84hc      1/1     Running     6 (15d ago)   57d   10.1.235.179   worker1   <none>           <none>
kube-system                  tetragon-7cf8b                             2/2     Running     0             8d    10.0.0.4       worker2   <none>           <none>
kube-system                  tetragon-dkzbv                             2/2     Running     0             8d    10.0.0.2       master    <none>           <none>
kube-system                  tetragon-operator-7c9f964ff5-57xrd         1/1     Running     0             8d    10.1.235.146   worker1   <none>           <none>
kube-system                  tetragon-vjbpw                             2/2     Running     0             8d    10.0.0.3       worker1   <none>           <none>
tetragon-policy-validation   tetragon-policy-validation                 0/1     Completed   0             8d    10.1.235.148   worker1   <none>           <none>
