NAME                                 AGE
falco-ref-clear-log                  21d
falco-ref-debugfs-privileged         21d
falco-ref-directory-traversal-read   21d
falco-ref-exec-dev-shm               21d
falco-ref-hardlink-sensitive         21d
falco-ref-k8s-api-contact            21d
falco-ref-kernel-module              21d
falco-ref-memfd-exec-stage           21d
falco-ref-netcat-rce                 21d
falco-ref-packet-socket              21d
falco-ref-private-key-search         21d
falco-ref-ptrace-antidebug           21d
falco-ref-ptrace-attach              21d
falco-ref-release-agent              21d
falco-ref-remove-bulk-data           21d
falco-ref-run-shell-untrusted        21d
falco-ref-sensitive-read-trusted     21d
falco-ref-sensitive-read-untrusted   21d
falco-ref-ssh-nonstandard-port       21d
falco-ref-stdio-network-redirect     21d
falco-ref-symlink-sensitive          21d
falco-ref-terminal-shell-container   21d
