NAME                                       READY   STATUS    RESTARTS        AGE     IP             NODE      NOMINATED NODE   READINESS GATES
calico-kube-controllers-676854dc5d-grbhn   1/1     Running   2 (7d21h ago)   62d     10.1.219.82    master    <none>           <none>
calico-node-gd572                          1/1     Running   1 (7d21h ago)   11d     10.0.0.2       master    <none>           <none>
calico-node-rpfwh                          1/1     Running   1 (7d22h ago)   11d     10.0.0.3       worker1   <none>           <none>
calico-node-zrwk5                          1/1     Running   1 (7d22h ago)   11d     10.0.0.4       worker2   <none>           <none>
coredns-78894c95f4-lh4z7                   1/1     Running   2 (7d21h ago)   62d     10.1.219.83    master    <none>           <none>
hostpath-provisioner-7f665d64f6-x84hc      1/1     Running   6 (7d21h ago)   49d     10.1.235.179   worker1   <none>           <none>
tetragon-7cf8b                             2/2     Running   0               3m43s   10.0.0.4       worker2   <none>           <none>
tetragon-dkzbv                             2/2     Running   0               3m43s   10.0.0.2       master    <none>           <none>
tetragon-operator-7c9f964ff5-57xrd         1/1     Running   0               3m43s   10.1.235.146   worker1   <none>           <none>
tetragon-vjbpw                             2/2     Running   0               3m43s   10.0.0.3       worker1   <none>           <none>
