"Time","Node","Policy","Function","Binary","Arguments","Namespace","Pod","PID","ExecID","ParentExecID","KprobeArgs"
"2026-08-24T18:37:56.308404545Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724796","d29ya2VyMToyNDMxODE2MjM0NjcyNTY5OjcyNDc5Ng==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":0,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.308436335Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724796","d29ya2VyMToyNDMxODE2MjM0NjcyNTY5OjcyNDc5Ng==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":1,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.308441485Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724796","d29ya2VyMToyNDMxODE2MjM0NjcyNTY5OjcyNDc5Ng==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":2,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.315097211Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724797","d29ya2VyMToyNDMxODE2MjQxNDE0MDU1OjcyNDc5Nw==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":0,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.315127940Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724797","d29ya2VyMToyNDMxODE2MjQxNDE0MDU1OjcyNDc5Nw==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":1,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.315135380Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724797","d29ya2VyMToyNDMxODE2MjQxNDE0MDU1OjcyNDc5Nw==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":2,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.321093073Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724798","d29ya2VyMToyNDMxODE2MjQ3MzU0MjM4OjcyNDc5OA==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":0,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.321124794Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724798","d29ya2VyMToyNDMxODE2MjQ3MzU0MjM4OjcyNDc5OA==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":1,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.321130094Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724798","d29ya2VyMToyNDMxODE2MjQ3MzU0MjM4OjcyNDc5OA==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":2,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
"2026-08-24T18:37:56.327005166Z","worker1","falco-ref-stdio-network-redirect","__x64_sys_dup3","/usr/bin/calico-node","-felix","kube-system","calico-node-rpfwh","724799","d29ya2VyMToyNDMxODE2MjUzMzUzNzMxOjcyNDc5OQ==","d29ya2VyMToyNTIzMDAwMDAwMDozMjM1","[{""error_arg"":{""Message"":""Bad address""},""label"":""oldfd""},{""int_arg"":0,""label"":""newfd""},{""int_arg"":0,""label"":""flags""}]"
