NAME                                 AGE
falco-ref-aws-credential-search      116m
falco-ref-clear-log                  3h8m
falco-ref-debugfs-privileged         3h8m
falco-ref-directory-traversal-read   3h8m
falco-ref-drop-execute-container     3h8m
falco-ref-exec-dev-shm               3h8m
falco-ref-hardlink-sensitive         3h8m
falco-ref-k8s-api-contact            3h8m
falco-ref-kernel-module              3h8m
falco-ref-memfd-execution            3h8m
falco-ref-netcat-rce                 3h8m
falco-ref-packet-socket              3h8m
falco-ref-private-key-search         116m
falco-ref-ptrace-antidebug           3h8m
falco-ref-ptrace-attach              3h8m
falco-ref-release-agent              3h8m
falco-ref-remove-bulk-data           3h8m
falco-ref-run-shell-untrusted        3h8m
falco-ref-sensitive-read-trusted     3h8m
falco-ref-sensitive-read-untrusted   3h8m
falco-ref-ssh-nonstandard-port       116m
falco-ref-stdio-network-redirect     3h8m
falco-ref-symlink-sensitive          3h8m
falco-ref-terminal-shell-container   3h8m
